! 13C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
4.500000	78.0664   	4.500000	77.739    	4.500000	78.4268   	4.500000	78.4268   	4.500000	78.4267   	4.500000	0.4795    	4.500000	0.340189  	4.500000	1.26447   	4.500000	1.45224   	4.500000	1.18822   	
5.000000	91.2045   	5.000000	91.0444   	5.000000	91.5966   	5.000000	91.5966   	5.000000	91.5966   	5.000000	0.562483  	5.000000	0.395174  	5.000000	1.41108   	5.000000	1.60551   	5.000000	1.32948   	
5.500000	105.27    	5.500000	105.243   	5.500000	105.653   	5.500000	105.653   	5.500000	105.653   	5.500000	0.651653  	5.500000	0.453273  	5.500000	1.56672   	5.500000	1.76727   	5.500000	1.47954   	
6.000000	120.253   	6.000000	120.322   	6.000000	120.587   	6.000000	120.587   	6.000000	120.587   	6.000000	0.746946  	6.000000	0.514425  	6.000000	1.73126   	6.000000	1.93734   	6.000000	1.63831   	
6.500000	136.146   	6.500000	136.269   	6.500000	136.388   	6.500000	136.388   	6.500000	136.387   	6.500000	0.848299  	6.500000	0.578572  	6.500000	1.90454   	6.500000	2.11549   	6.500000	1.80563   	
7.000000	152.941   	7.000000	153.072   	7.000000	153.047   	7.000000	153.047   	7.000000	153.046   	7.000000	0.955649  	7.000000	0.645661  	7.000000	2.08645   	7.000000	2.30157   	7.000000	1.98141   	
7.500000	170.628   	7.500000	170.723   	7.500000	170.555   	7.500000	170.555   	7.500000	170.555   	7.500000	1.06894   	7.500000	0.715643  	7.500000	2.27686   	7.500000	2.49541   	7.500000	2.16553   	
8.000000	189.201   	8.000000	189.211   	8.000000	188.905   	8.000000	188.905   	8.000000	188.905   	8.000000	1.18811   	8.000000	0.788475  	8.000000	2.47569   	8.000000	2.69689   	8.000000	2.35791   	
8.500000	208.652   	8.500000	208.529   	8.500000	208.089   	8.500000	208.089   	8.500000	208.089   	8.500000	1.31311   	8.500000	0.864115  	8.500000	2.68284   	8.500000	2.90589   	8.500000	2.55846   	
9.000000	228.973   	9.000000	228.668   	9.000000	228.098   	9.000000	228.098   	9.000000	228.098   	9.000000	1.44389   	9.000000	0.942524  	9.000000	2.89823   	9.000000	3.12228   	9.000000	2.7671    	
9.500000	250.158   	9.500000	249.621   	9.500000	248.927   	9.500000	248.927   	9.500000	248.927   	9.500000	1.58039   	9.500000	1.02367   	9.500000	3.12177   	9.500000	3.34598   	9.500000	2.98376   	
10.000000	272.2     	10.000000	271.377   	10.000000	270.569   	10.000000	270.569   	10.000000	270.568   	10.000000	1.72258   	10.000000	1.10751   	10.000000	3.35338   	10.000000	3.57689   	10.000000	3.20836   	
11.000000	318.829   	11.000000	317.093   	11.000000	316.3     	11.000000	316.281   	11.000000	316.294   	11.000000	2.02443   	11.000000	1.28352   	11.000000	3.841     	11.000000	4.06035   	11.000000	3.68156   	
12.000000	368.81    	12.000000	365.985   	12.000000	365.293   	12.000000	365.22    	12.000000	365.272   	12.000000	2.34986   	12.000000	1.47077   	12.000000	4.36117   	12.000000	4.57261   	12.000000	4.18682   	
13.000000	422.097   	13.000000	418.031   	13.000000	417.52    	13.000000	417.361   	13.000000	417.478   	13.000000	2.69878   	13.000000	1.6691    	13.000000	4.91373   	13.000000	5.11337   	13.000000	4.724     	
14.000000	478.646   	14.000000	473.206   	14.000000	472.957   	14.000000	472.684   	14.000000	472.89    	14.000000	3.07115   	14.000000	1.87839   	14.000000	5.49852   	14.000000	5.68235   	14.000000	5.29297   	
15.000000	538.417   	15.000000	531.486   	15.000000	531.581   	15.000000	531.168   	15.000000	531.488   	15.000000	3.4669    	15.000000	2.09866   	15.000000	6.11543   	15.000000	6.27934   	15.000000	5.89363   	
16.000000	601.369   	16.000000	592.848   	16.000000	593.374   	16.000000	592.796   	16.000000	593.253   	16.000000	3.88599   	16.000000	2.32987   	16.000000	6.76435   	16.000000	6.90412   	16.000000	6.52591   	
17.000000	667.467   	17.000000	657.267   	17.000000	658.314   	17.000000	657.553   	17.000000	658.167   	17.000000	4.32837   	17.000000	2.57187   	17.000000	7.44519   	17.000000	7.55652   	17.000000	7.18974   	
18.000000	736.674   	18.000000	724.718   	18.000000	726.387   	18.000000	725.424   	18.000000	726.214   	18.000000	4.79401   	18.000000	2.82457   	18.000000	8.15787   	18.000000	8.23637   	18.000000	7.88505   	
19.000000	808.958   	19.000000	795.178   	19.000000	797.579   	19.000000	796.397   	19.000000	797.381   	19.000000	5.28287   	19.000000	3.08794   	19.000000	8.90228   	19.000000	8.94351   	19.000000	8.61178   	
20.000000	884.285   	20.000000	868.624   	20.000000	871.876   	20.000000	870.459   	20.000000	871.654   	20.000000	5.79494   	20.000000	3.36203   	20.000000	9.67839   	20.000000	9.67781   	20.000000	9.3699    	
21.000000	962.626   	21.000000	945.032   	21.000000	949.264   	21.000000	947.601   	21.000000	949.02    	21.000000	6.3302    	21.000000	3.64686   	21.000000	10.4861   	21.000000	10.4391   	21.000000	10.1594   	
22.000000	1043.95   	22.000000	1024.38   	22.000000	1029.73   	22.000000	1027.81   	22.000000	1029.47   	22.000000	6.88863   	22.000000	3.94238   	22.000000	11.3255   	22.000000	11.2274   	22.000000	10.9802   	
23.000000	1128.23   	23.000000	1106.65   	23.000000	1113.27   	23.000000	1111.08   	23.000000	1112.98   	23.000000	7.47021   	23.000000	4.24846   	23.000000	12.1964   	23.000000	12.0425   	23.000000	11.8323   	
24.000000	1215.43   	24.000000	1191.81   	24.000000	1199.86   	24.000000	1197.4    	24.000000	1199.56   	24.000000	8.07493   	24.000000	4.56506   	24.000000	13.0988   	24.000000	12.8843   	24.000000	12.7158   	
25.000000	1305.54   	25.000000	1279.84   	25.000000	1289.5    	25.000000	1286.76   	25.000000	1289.19   	25.000000	8.70277   	25.000000	4.89219   	25.000000	14.0326   	25.000000	13.7528   	25.000000	13.6305   	
