! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
14.000000	576.542   	14.000000	568.633   	14.000000	568.188   	14.000000	567.961   	14.000000	568.153   	14.000000	4.03181   	14.000000	2.46794   	14.000000	7.11885   	14.000000	7.25877   	14.000000	6.84737   	
15.000000	649.274   	15.000000	639.52    	15.000000	639.488   	15.000000	639.145   	15.000000	639.439   	15.000000	4.55727   	15.000000	2.76022   	15.000000	7.94187   	15.000000	8.04626   	15.000000	7.6471    	
16.000000	725.899   	16.000000	714.184   	16.000000	714.669   	16.000000	714.192   	16.000000	714.606   	16.000000	5.11368   	16.000000	3.0668    	16.000000	8.80819   	16.000000	8.87094   	16.000000	8.48948   	
17.000000	806.371   	17.000000	792.593   	17.000000	793.708   	17.000000	793.078   	17.000000	793.63    	17.000000	5.70095   	17.000000	3.38762   	17.000000	9.71762   	17.000000	9.7325    	17.000000	9.37433   	
18.000000	890.644   	18.000000	874.713   	18.000000	876.58    	18.000000	875.784   	18.000000	876.488   	18.000000	6.31902   	18.000000	3.72271   	18.000000	10.67     	18.000000	10.6307   	18.000000	10.3015   	
19.000000	978.676   	19.000000	960.516   	19.000000	963.265   	19.000000	962.291   	19.000000	963.16    	19.000000	6.96783   	19.000000	4.07209   	19.000000	11.6652   	19.000000	11.5652   	19.000000	11.271    	
20.000000	1070.43   	20.000000	1049.97   	20.000000	1053.74   	20.000000	1052.58   	20.000000	1053.63   	20.000000	7.64735   	20.000000	4.43567   	20.000000	12.7032   	20.000000	12.536    	20.000000	12.2826   	
21.000000	1165.86   	21.000000	1143.05   	21.000000	1148      	21.000000	1146.64   	21.000000	1147.87   	21.000000	8.35753   	21.000000	4.81328   	21.000000	13.7837   	21.000000	13.5427   	21.000000	13.3364   	
22.000000	1264.94   	22.000000	1239.71   	22.000000	1246.02   	22.000000	1244.46   	22.000000	1245.88   	22.000000	9.09835   	22.000000	5.20484   	22.000000	14.9068   	22.000000	14.5853   	22.000000	14.4322   	
23.000000	1367.62   	23.000000	1339.95   	23.000000	1347.79   	23.000000	1346.02   	23.000000	1347.64   	23.000000	9.8698    	23.000000	5.61035   	23.000000	16.0723   	23.000000	15.6635   	23.000000	15.57     	
