! 7Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
70.000000	9753.73   	70.000000	9620.09   	70.000000	9789.08   	70.000000	9794.31   	70.000000	9788.94   	70.000000	92.8339   	70.000000	46.1907   	70.000000	140.381   	70.000000	125.06    	70.000000	137.98    	
75.000000	11018.6   	75.000000	10877.4   	75.000000	11066     	75.000000	11073.4   	75.000000	11065.8   	75.000000	104.848   	75.000000	51.8382   	75.000000	158.449   	75.000000	140.538   	75.000000	155.96    	
80.000000	12348.2   	80.000000	12199.9   	80.000000	12408.7   	80.000000	12418.5   	80.000000	12408.5   	80.000000	117.444   	80.000000	57.7366   	80.000000	177.412   	80.000000	156.731   	80.000000	174.868   	
85.000000	13741     	85.000000	13586.3   	85.000000	13815.5   	85.000000	13828.2   	85.000000	13815.4   	85.000000	130.601   	85.000000	63.8742   	85.000000	197.245   	85.000000	173.622   	85.000000	194.687   	
90.000000	15195.7   	90.000000	15035.1   	90.000000	15285.3   	90.000000	15301     	90.000000	15285.2   	90.000000	144.304   	90.000000	70.2452   	90.000000	217.926   	90.000000	191.192   	90.000000	215.395   	
95.000000	16711.1   	95.000000	16544.9   	95.000000	16816.8   	95.000000	16835.6   	95.000000	16816.5   	95.000000	158.533   	95.000000	76.8433   	95.000000	239.433   	95.000000	209.424   	95.000000	236.973   	
100.000000	18285.9   	100.000000	18114.3   	100.000000	18408.4   	100.000000	18430.8   	100.000000	18408.1   	100.000000	173.272   	100.000000	83.6626   	100.000000	261.743   	100.000000	228.301   	100.000000	259.405   	
105.000000	19919.1   	105.000000	19742.2   	105.000000	20059     	105.000000	20085.3   	105.000000	20058.8   	105.000000	188.506   	105.000000	90.6974   	105.000000	284.837   	105.000000	247.809   	105.000000	282.672   	
110.000000	21609.6   	110.000000	21427.3   	110.000000	21767.5   	110.000000	21797.9   	110.000000	21767.3   	110.000000	204.219   	110.000000	97.943    	110.000000	308.694   	110.000000	267.931   	110.000000	306.757   	
115.000000	23356.2   	115.000000	23168.4   	115.000000	23532.9   	115.000000	23567.4   	115.000000	23532.6   	115.000000	220.396   	115.000000	105.392   	115.000000	333.297   	115.000000	288.653   	115.000000	331.645   	
120.000000	25158.1   	120.000000	24964.4   	120.000000	25353.7   	120.000000	25392.9   	120.000000	25353.5   	120.000000	237.022   	120.000000	113.035   	120.000000	358.625   	120.000000	309.963   	120.000000	357.319   	
125.000000	27014.3   	125.000000	26814.2   	125.000000	27229.1   	125.000000	27273.2   	125.000000	27228.9   	125.000000	254.084   	125.000000	120.873   	125.000000	384.661   	125.000000	331.846   	125.000000	383.765   	
130.000000	28923.9   	130.000000	28716.8   	130.000000	29158.1   	130.000000	29207.2   	130.000000	29157.9   	130.000000	271.568   	130.000000	128.897   	130.000000	411.389   	130.000000	354.29    	130.000000	410.968   	
135.000000	30885.9   	135.000000	30671.1   	135.000000	31139.6   	135.000000	31194.1   	135.000000	31139.4   	135.000000	289.461   	135.000000	137.104   	135.000000	438.79    	135.000000	377.283   	135.000000	438.913   	
140.000000	32899.7   	140.000000	32676.2   	140.000000	33172.7   	140.000000	33232.7   	140.000000	33172.4   	140.000000	307.75    	140.000000	145.493   	140.000000	466.849   	140.000000	400.812   	140.000000	467.587   	
145.000000	34964.3   	145.000000	34731     	145.000000	35256.3   	145.000000	35322.2   	145.000000	35256.1   	145.000000	326.424   	145.000000	154.054   	145.000000	495.551   	145.000000	424.867   	145.000000	496.976   	
150.000000	37079     	150.000000	36834.7   	150.000000	37389.6   	150.000000	37461.7   	150.000000	37389.5   	150.000000	345.47    	150.000000	162.783   	150.000000	524.879   	150.000000	449.435   	150.000000	527.066   	
155.000000	39272.7   	155.000000	38986.4   	155.000000	39571.9   	155.000000	39650.2   	155.000000	39571.7   	155.000000	364.877   	155.000000	171.676   	155.000000	554.82    	155.000000	474.508   	155.000000	557.845   	
160.000000	41514.1   	160.000000	41185.1   	160.000000	41802.1   	160.000000	41886.9   	160.000000	41801.9   	160.000000	384.633   	160.000000	180.731   	160.000000	585.357   	160.000000	500.072   	160.000000	589.3     	
165.000000	43801.2   	165.000000	43430.1   	165.000000	44079.4   	165.000000	44171     	165.000000	44079.2   	165.000000	404.729   	165.000000	189.942   	165.000000	616.478   	165.000000	526.12    	165.000000	621.42    	
170.000000	46133.2   	170.000000	45720.5   	170.000000	46403.1   	170.000000	46501.6   	170.000000	46402.9   	170.000000	425.154   	170.000000	199.308   	170.000000	648.169   	170.000000	552.641   	170.000000	654.192   	
175.000000	48509.3   	175.000000	48055.5   	175.000000	48772.3   	175.000000	48878     	175.000000	48772     	175.000000	445.897   	175.000000	208.826   	175.000000	680.415   	175.000000	579.624   	175.000000	687.603   	
180.000000	50928.9   	180.000000	50434.3   	180.000000	51186.1   	180.000000	51299.3   	180.000000	51185.8   	180.000000	466.949   	180.000000	218.487   	180.000000	713.206   	180.000000	607.063   	180.000000	721.644   	
185.000000	53391     	185.000000	52856.2   	185.000000	53643.8   	185.000000	53764.8   	185.000000	53643.7   	185.000000	488.3     	185.000000	228.287   	185.000000	746.527   	185.000000	634.945   	185.000000	756.303   	
190.000000	55895.2   	190.000000	55320.4   	190.000000	56144.8   	190.000000	56273.7   	190.000000	56144.7   	190.000000	509.941   	190.000000	238.227   	190.000000	780.366   	190.000000	663.264   	190.000000	791.569   	
195.000000	58440.6   	195.000000	57826.3   	195.000000	58688.4   	195.000000	58825.4   	195.000000	58688.3   	195.000000	531.863   	195.000000	248.305   	195.000000	814.712   	195.000000	692.011   	195.000000	827.431   	
200.000000	61026.6   	200.000000	60373     	200.000000	61273.8   	200.000000	61419.1   	200.000000	61273.7   	200.000000	554.057   	200.000000	258.515   	200.000000	849.553   	200.000000	721.176   	200.000000	863.88    	
210.000000	66317.7   	210.000000	65586.5   	210.000000	66567.1   	210.000000	66729.8   	210.000000	66567.1   	210.000000	599.229   	210.000000	279.32    	210.000000	920.673   	210.000000	780.733   	210.000000	938.494   	
220.000000	71763.6   	220.000000	70955.5   	220.000000	72019.9   	220.000000	72200.5   	220.000000	72019.7   	220.000000	645.391   	220.000000	300.634   	220.000000	993.638   	220.000000	841.87    	220.000000	1015.33   	
230.000000	77359.5   	230.000000	76475.1   	230.000000	77626.5   	230.000000	77826.2   	230.000000	77626.4   	230.000000	692.483   	230.000000	322.416   	230.000000	1068.37   	230.000000	904.528   	230.000000	1094.32   	
